Country Code,Country Name,Gender,Date,Unemployement Rate
AUT,Austria,ALL,3/1/2017,6.1
AUT,Austria,ALL,4/1/2017,5.8
AUT,Austria,ALL,5/1/2017,6
AUT,Austria,ALL,6/1/2017,5.7
AUT,Austria,ALL,7/1/2017,5.8
AUT,Austria,ALL,8/1/2017,6
AUT,Austria,ALL,9/1/2017,6
AUT,Austria,ALL,10/1/2017,5.7
AUT,Austria,ALL,11/1/2017,6
AUT,Austria,ALL,12/1/2017,5.9
AUT,Austria,ALL,1/1/2018,5.5
AUT,Austria,ALL,2/1/2018,5.3
AUT,Austria,ALL,3/1/2018,5.2
AUT,Austria,ALL,4/1/2018,5
AUT,Austria,ALL,5/1/2018,4.9
AUT,Austria,ALL,6/1/2018,5
AUT,Austria,ALL,7/1/2018,5.2
AUT,Austria,ALL,8/1/2018,5.6
AUT,Austria,ALL,9/1/2018,5.4
AUT,Austria,ALL,10/1/2018,5.2
AUT,Austria,ALL,11/1/2018,5
AUT,Austria,ALL,12/1/2018,5.2
AUT,Austria,ALL,1/1/2019,4.9
AUT,Austria,ALL,2/1/2019,5.1
AUT,Austria,ALL,3/1/2019,4.9
AUT,Austria,ALL,4/1/2019,5.1
AUT,Austria,ALL,5/1/2019,4.9
AUT,Austria,ALL,6/1/2019,4.6
AUT,Austria,ALL,7/1/2019,4.9
AUT,Austria,ALL,8/1/2019,5
AUT,Austria,ALL,9/1/2019,4.6
AUT,Austria,ALL,10/1/2019,4.9
AUT,Austria,ALL,11/1/2019,4.4
AUT,Austria,ALL,12/1/2019,4.5
AUT,Austria,ALL,1/1/2020,4.4
AUT,Austria,ALL,2/1/2020,4.5
AUT,Austria,ALL,3/1/2020,4.9
AUT,Austria,ALL,4/1/2020,6
AUT,Austria,ALL,5/1/2020,7.1
AUT,Austria,ALL,6/1/2020,7.7
AUT,Austria,ALL,7/1/2020,6.8
AUT,Austria,ALL,8/1/2020,6.4
AUT,Austria,ALL,9/1/2020,6.4
AUT,Austria,ALL,10/1/2020,6.1
AUT,Austria,ALL,11/1/2020,6.1
AUT,Austria,ALL,12/1/2020,6.8
AUT,Austria,ALL,1/1/2021,7.3
AUT,Austria,ALL,2/1/2021,7
AUT,Austria,ALL,3/1/2021,6.7
AUT,Austria,ALL,4/1/2021,7.1
AUT,Austria,ALL,5/1/2021,6.7
AUT,Austria,ALL,6/1/2021,6.2
AUT,Austria,ALL,7/1/2021,6
AUT,Austria,ALL,8/1/2021,5.9
AUT,Austria,ALL,9/1/2021,5.2
BEL,Belgium,ALL,1/1/2000,7.3
BEL,Belgium,ALL,2/1/2000,7.1
BEL,Belgium,ALL,3/1/2000,6.9
BEL,Belgium,ALL,4/1/2000,6.9
BEL,Belgium,ALL,5/1/2000,6.8
BEL,Belgium,ALL,6/1/2000,6.7
BEL,Belgium,ALL,7/1/2000,6.8
BEL,Belgium,ALL,8/1/2000,7
BEL,Belgium,ALL,9/1/2000,6.9
BEL,Belgium,ALL,10/1/2000,6.8
BEL,Belgium,ALL,11/1/2000,6.7
BEL,Belgium,ALL,12/1/2000,6.4
BEL,Belgium,ALL,1/1/2001,6.1
BEL,Belgium,ALL,2/1/2001,6
BEL,Belgium,ALL,3/1/2001,6.1
BEL,Belgium,ALL,4/1/2001,6.5
BEL,Belgium,ALL,5/1/2001,6.6
BEL,Belgium,ALL,6/1/2001,6.4
BEL,Belgium,ALL,7/1/2001,6.1
BEL,Belgium,ALL,8/1/2001,6.2
BEL,Belgium,ALL,9/1/2001,6.6
BEL,Belgium,ALL,10/1/2001,7.3
BEL,Belgium,ALL,11/1/2001,7.4
BEL,Belgium,ALL,12/1/2001,7.5
BEL,Belgium,ALL,1/1/2002,7.4
BEL,Belgium,ALL,2/1/2002,7.3
BEL,Belgium,ALL,3/1/2002,7.3
BEL,Belgium,ALL,4/1/2002,7.3
BEL,Belgium,ALL,5/1/2002,7.3
BEL,Belgium,ALL,6/1/2002,7.3
BEL,Belgium,ALL,7/1/2002,7.5
BEL,Belgium,ALL,8/1/2002,7.4
BEL,Belgium,ALL,9/1/2002,7.6
